node_id,consumption,con_rx,con_tx,con_standby,con_sleep,sink_rx_suc,sink_tx_suc,sink_delay_avg,rx_all_p,rx_suc_p,rx_fail_per,rx_fail_col,rx_fail_adr,rx_fail_dup,rx_fail_mis,rx_fail_buf,rx_buf_max,gen_p,tx_all_p,tx_suc_p,tx_fail_per,tx_fail_col,tx_fail_adr,tx_fail_dup,tx_fail_mis,tx_fail_buf,links
Network,909778.4014878506,847948.8081379702,61708.11692520431,72.80466398372836,48.671761503330764,2438,3928,19213.35094514061,4548183,86344,2737473,606201,0,900004,49408,169206,21,8517,91272,86344,2737473,606201,0,900004,49408,169206,
0,17872.05379894305,17757.54581688117,112.90708570545999,0.6765342190194912,0.9243621442435895,0,0,0,91106,2438,45308,6201,0,36103,1055,0,0,167,167; 8350,986,4177,619,0,0,0,31,|{'1': 117, '2': 103, '3': 109, '4': 104, '5': 108, '6': 75, '7': 114, '8': 104, '9': 62, '10': 86, '11': 76, '12': 59, '13': 62, '14': 60, '15': 58, '16': 69, '17': 152, '18': 71, '19': 114, '20': 149, '21': 78, '22': 73, '23': 107, '24': 41, '25': 48, '26': 128, '27': 41, '28': 75, '29': 80, '30': 115, '31': 47, '32': 111, '33': 160, '34': 97, '35': 51, '36': 124, '37': 61, '38': 68, '39': 50, '40': 103, '41': 58, '42': 84, '43': 74, '44': 105, '45': 41, '46': 39, '47': 35, '48': 46, '49': 39, '50': 142}|
1,19554.406943936774,18244.673820879616,1307.558705115973,1.3206591288000644,0.8537588166891322,95,86,8917.12098985996,89339,1788,45023,12778,0,24817,889,4043,21,167,1934; 96700,2804,48655,14382,0,26035,142,213,|{'0': 1391, '2': 1855, '3': 1036, '4': 1160, '5': 839, '6': 845, '7': 1878, '8': 1424, '9': 513, '10': 1606, '11': 969, '12': 576, '13': 555, '14': 436, '15': 695, '16': 751, '17': 1715, '18': 500, '19': 1745, '20': 1796, '21': 581, '22': 1491, '23': 785, '24': 436, '25': 453, '26': 1533, '27': 590, '28': 671, '29': 499, '30': 1197, '31': 438, '32': 879, '33': 1151, '34': 950, '35': 514, '36': 1934, '37': 1238, '38': 715, '39': 927, '40': 838, '41': 756, '42': 772, '43': 1002, '44': 1527, '45': 361, '46': 375, '47': 411, '48': 350, '49': 679, '50': 1707}|
2,18277.937687023834,16968.758615454484,1306.8826147824075,1.3661130740402312,0.9303437122851433,61,74,9086.354623476635,89340,1787,46686,13149,0,22245,792,4680,21,167,1933; 96650,1387,50479,14671,0,26783,0,27256,|{'0': 1254, '1': 1854, '3': 879, '4': 1217, '5': 733, '6': 728, '7': 1933, '8': 1542, '9': 478, '10': 1840, '11': 931, '12': 495, '13': 510, '14': 418, '15': 746, '16': 680, '17': 1495, '18': 397, '19': 1564, '20': 1533, '21': 587, '22': 1686, '23': 701, '24': 477, '25': 391, '26': 1294, '27': 523, '28': 677, '29': 446, '30': 999, '31': 486, '32': 824, '33': 990, '34': 962, '35': 453, '36': 1833, '37': 1404, '38': 632, '39': 1108, '40': 694, '41': 780, '42': 645, '43': 1174, '44': 1643, '45': 317, '46': 379, '47': 388, '48': 306, '49': 706, '50': 1439}|
3,17349.492237613944,16039.605249861219,1307.558705115973,1.3416859249201862,0.9865967313785697,65,88,8448.45759111889,89339,1787,47196,13097,0,22991,1023,3244,21,167,1934; 96700,2118,51738,14435,0,24523,23,16,|{'0': 1254, '1': 1025, '2': 903, '4': 655, '5': 885, '6': 1261, '7': 904, '8': 697, '9': 599, '10': 691, '11': 1078, '12': 1146, '13': 522, '14': 435, '15': 442, '16': 1210, '17': 1339, '18': 682, '19': 1267, '20': 1260, '21': 681, '22': 737, '23': 1327, '24': 350, '25': 867, '26': 1549, '27': 949, '28': 546, '29': 751, '30': 1875, '31': 411, '32': 716, '33': 1468, '34': 688, '35': 1011, '36': 1022, '37': 594, '38': 1476, '39': 477, '40': 1509, '41': 476, '42': 1648, '43': 481, '44': 751, '45': 619, '46': 479, '47': 804, '48': 716, '49': 349, '50': 1380}|
4,17036.46185038887,15726.515559935804,1307.558705115973,1.3820486229003497,1.0055367425741826,107,95,8563.309260329486,89339,1787,51948,10446,0,20991,1079,3087,21,167,1934; 96700,5316,54883,5475,0,21015,16,15,|{'0': 1138, '1': 1160, '2': 1210, '3': 641, '5': 853, '6': 458, '7': 1236, '8': 1781, '9': 638, '10': 1217, '11': 523, '12': 379, '13': 743, '14': 611, '15': 1363, '16': 443, '17': 1052, '18': 485, '19': 924, '20': 1104, '21': 747, '22': 986, '23': 593, '24': 823, '25': 293, '26': 846, '27': 346, '28': 1039, '29': 534, '30': 747, '31': 773, '32': 1198, '33': 907, '34': 1583, '35': 331, '36': 1100, '37': 874, '38': 444, '39': 848, '40': 632, '41': 1425, '42': 526, '43': 1089, '44': 1666, '45': 373, '46': 497, '47': 261, '48': 269, '49': 1115, '50': 993}|
5,18632.976127453276,17323.77384581474,1306.8826147824075,1.4101736259603945,0.9094932337188736,51,80,8354.216510613534,89340,1787,51056,11650,0,19066,1679,4101,21,167,1933; 96650,1247,53783,18487,0,20380,418,30,|{'0': 1316, '1': 764, '2': 713, '3': 940, '4': 835, '6': 508, '7': 783, '8': 772, '9': 1408, '10': 613, '11': 487, '12': 584, '13': 1222, '14': 959, '15': 734, '16': 520, '17': 989, '18': 1243, '19': 787, '20': 1018, '21': 1617, '22': 535, '23': 1331, '24': 719, '25': 497, '26': 877, '27': 456, '28': 1126, '29': 1385, '30': 951, '31': 767, '32': 1508, '33': 1355, '34': 1132, '35': 532, '36': 818, '37': 475, '38': 747, '39': 414, '40': 1302, '41': 661, '42': 917, '43': 463, '44': 767, '45': 810, '46': 1026, '47': 414, '48': 604, '49': 470, '50': 996}|
6,15831.814638833834,14521.76942746049,1307.558705115973,1.4088343757404904,1.0776719138558408,5,86,12313.832223229972,89339,1787,55113,12412,0,17227,767,2033,21,167,1934; 96700,159,61168,15542,0,19426,0,33,|{'0': 714, '1': 789, '2': 717, '3': 1209, '4': 463, '5': 532, '7': 693, '8': 533, '9': 367, '10': 633, '11': 1537, '12': 1165, '13': 341, '14': 260, '15': 304, '16': 1903, '17': 937, '18': 391, '19': 1052, '20': 837, '21': 373, '22': 646, '23': 758, '24': 248, '25': 881, '26': 1110, '27': 1484, '28': 304, '29': 437, '30': 1166, '31': 265, '32': 427, '33': 854, '34': 438, '35': 1104, '36': 832, '37': 616, '38': 1182, '39': 441, '40': 811, '41': 318, '42': 1029, '43': 452, '44': 586, '45': 380, '46': 305, '47': 1023, '48': 509, '49': 252, '50': 924}|
7,16521.48914837311,15211.551399303955,1307.558705115973,1.3426227579601409,1.0364212266214974,17,93,8074.192975202867,89339,1787,45880,13799,0,22433,830,4609,21,167,1934; 96700,272,49657,18880,0,27140,42,8,|{'0': 1297, '1': 1870, '2': 1934, '3': 923, '4': 1260, '5': 769, '6': 732, '8': 1601, '9': 513, '10': 1756, '11': 909, '12': 490, '13': 534, '14': 397, '15': 760, '16': 662, '17': 1555, '18': 440, '19': 1555, '20': 1642, '21': 582, '22': 1554, '23': 697, '24': 498, '25': 425, '26': 1360, '27': 494, '28': 723, '29': 508, '30': 1045, '31': 491, '32': 879, '33': 1047, '34': 972, '35': 456, '36': 1874, '37': 1296, '38': 631, '39': 1040, '40': 746, '41': 842, '42': 685, '43': 1135, '44': 1738, '45': 357, '46': 387, '47': 404, '48': 355, '49': 739, '50': 1484}|
8,17515.23516577581,16205.285294294164,1307.558705115973,1.4151996144004282,0.9759667698602282,97,91,8828.994913308628,89339,1788,49930,11916,0,20519,976,4210,21,167,1934; 96700,1640,53431,12839,0,24362,38,4333,|{'0': 1136, '1': 1417, '2': 1511, '3': 714, '4': 1744, '5': 780, '6': 551, '7': 1574, '9': 542, '10': 1598, '11': 609, '12': 385, '13': 652, '14': 481, '15': 1057, '16': 485, '17': 1135, '18': 455, '19': 1073, '20': 1237, '21': 637, '22': 1258, '23': 573, '24': 670, '25': 321, '26': 994, '27': 426, '28': 838, '29': 509, '30': 777, '31': 615, '32': 1018, '33': 922, '34': 1295, '35': 341, '36': 1338, '37': 1041, '38': 474, '39': 1015, '40': 640, '41': 1152, '42': 562, '43': 1346, '44': 1913, '45': 333, '46': 395, '47': 284, '48': 282, '49': 1035, '50': 1129}|
9,18385.573190523242,17076.305825047326,1306.8826147824075,1.4604453883806043,0.9243053102835266,62,80,8497.12470073396,89340,1787,56958,10125,0,15117,1729,3624,21,167,1933; 96650,991,60871,14693,0,17997,398,35,|{'0': 845, '1': 520, '2': 490, '3': 580, '4': 607, '5': 1425, '6': 377, '7': 553, '8': 528, '10': 450, '11': 349, '12': 397, '13': 1583, '14': 1417, '15': 671, '16': 368, '17': 600, '18': 1452, '19': 503, '20': 617, '21': 1840, '22': 388, '23': 904, '24': 772, '25': 385, '26': 564, '27': 304, '28': 1115, '29': 1480, '30': 606, '31': 914, '32': 1165, '33': 887, '34': 907, '35': 340, '36': 513, '37': 361, '38': 549, '39': 321, '40': 853, '41': 570, '42': 606, '43': 359, '44': 548, '45': 849, '46': 1553, '47': 307, '48': 502, '49': 395, '50': 590}|
