node_id,consumption,con_rx,con_tx,con_standby,con_sleep,sink_rx_suc,sink_tx_suc,sink_delay_avg,rx_all_p,rx_suc_p,rx_fail_per,rx_fail_col,rx_fail_adr,rx_fail_dup,rx_fail_mis,rx_fail_buf,rx_buf_max,gen_p,tx_all_p,tx_suc_p,tx_fail_per,tx_fail_col,tx_fail_adr,tx_fail_dup,tx_fail_mis,tx_fail_buf,links
Network,315513.76633115223,291294.88681877835,24058.26990372639,77.19818230656576,83.41142485275637,1143,298,509.54268426186815,3350798,61818,2118537,418939,0,686978,72872,0,6,8517,69192,61818,2118537,418939,0,686978,72872,0,
0,5146.811201650956,5085.753142728604,58.066410479859435,1.3038444361762394,1.6878039927851827,0,0,0,69025,1143,37204,9345,0,19752,1860,0,0,167,167; 8350,109,4293,3916,0,0,32,0,|{'1': 129, '2': 89, '3': 55, '4': 30, '5': 136, '6': 158, '7': 119, '8': 155, '9': 124, '10': 62, '11': 143, '12': 60, '13': 76, '14': 90, '15': 53, '16': 54, '17': 132, '18': 84, '19': 104, '20': 74, '21': 104, '22': 124, '23': 43, '24': 86, '25': 41, '26': 55, '27': 27, '28': 88, '29': 89, '30': 36, '31': 57, '32': 38, '33': 167, '34': 41, '35': 75, '36': 40, '37': 34, '38': 52, '39': 95, '40': 122, '41': 124, '42': 162, '43': 66, '44': 50, '45': 46, '46': 36, '47': 73, '48': 52, '49': 41, '50': 66}|
1,5681.793453716765,5226.915362692657,451.6662707385289,1.5470398132166263,1.6647804512235658,8,5,595.0310619042482,67893,1132,38598,9123,0,17152,2147,0,2,167,1299; 64950,195,35538,13940,0,15050,227,0,|{'0': 1023, '2': 1030, '3': 650, '4': 427, '5': 881, '6': 1217, '7': 579, '8': 1203, '9': 932, '10': 507, '11': 803, '12': 423, '13': 404, '14': 556, '15': 458, '16': 487, '17': 1078, '18': 463, '19': 575, '20': 442, '21': 789, '22': 945, '23': 442, '24': 640, '25': 575, '26': 340, '27': 289, '28': 649, '29': 482, '30': 220, '31': 300, '32': 203, '33': 949, '34': 321, '35': 454, '36': 553, '37': 350, '38': 296, '39': 638, '40': 603, '41': 932, '42': 1040, '43': 388, '44': 386, '45': 365, '46': 432, '47': 437, '48': 433, '49': 451, '50': 372}|
2,6732.274835885525,6279.535976296498,449.5800523979353,1.556274172856681,1.602532980400384,10,5,218.8203132532425,67899,1126,41552,9392,0,14148,1873,0,1,167,1293; 64650,435,39019,7977,0,17130,89,0,|{'0': 761, '1': 1021, '3': 891, '4': 556, '5': 822, '6': 885, '7': 455, '8': 917, '9': 624, '10': 374, '11': 685, '12': 278, '13': 301, '14': 366, '15': 321, '16': 540, '17': 738, '18': 305, '19': 508, '20': 302, '21': 543, '22': 978, '23': 458, '24': 771, '25': 724, '26': 241, '27': 216, '28': 747, '29': 353, '30': 173, '31': 243, '32': 154, '33': 707, '34': 222, '35': 311, '36': 730, '37': 439, '38': 205, '39': 731, '40': 451, '41': 649, '42': 726, '43': 303, '44': 524, '45': 266, '46': 501, '47': 314, '48': 367, '49': 532, '50': 402}|
3,6751.931962833024,6211.161500383011,537.5489257596377,1.6186314513567472,1.6029052014522374,39,5,588.2831732367068,63385,1379,41561,6610,0,13017,951,0,4,167,1546; 74208,2602,49522,8743,0,11749,1612,0,|{'0': 517, '1': 777, '2': 1087, '4': 1016, '5': 569, '6': 638, '7': 384, '8': 660, '9': 458, '10': 326, '11': 510, '12': 260, '13': 245, '14': 295, '15': 290, '16': 815, '17': 582, '18': 261, '19': 400, '20': 250, '21': 395, '22': 710, '23': 578, '24': 740, '25': 1167, '26': 209, '27': 218, '28': 637, '29': 271, '31': 184, '33': 492, '34': 228, '35': 279, '36': 1420, '37': 888, '38': 187, '39': 678, '40': 332, '41': 482, '42': 561, '43': 270, '44': 706, '45': 266, '46': 818, '47': 241, '48': 338, '49': 665, '50': 386}|
4,6031.993965710687,5492.30445650948,536.5058165893405,1.5376916174365876,1.6460009676840264,31,4,529.6379784203885,63388,1376,44316,6078,0,11255,453,0,2,167,1543; 74064,2727,52736,6909,0,10553,1139,0,|{'0': 369, '1': 521, '2': 653, '3': 999, '5': 363, '6': 418, '7': 272, '8': 470, '9': 387, '10': 327, '11': 342, '12': 189, '13': 162, '14': 228, '15': 259, '16': 1270, '17': 438, '18': 186, '19': 258, '20': 231, '21': 339, '22': 445, '23': 807, '24': 401, '25': 1363, '26': 176, '27': 204, '28': 369, '29': 193, '31': 187, '33': 331, '34': 267, '35': 224, '36': 1203, '37': 1016, '38': 142, '39': 373, '40': 232, '41': 395, '42': 357, '43': 175, '44': 400, '45': 278, '46': 1343, '47': 191, '48': 373, '49': 971, '50': 231}|
5,6580.68490527606,6129.360297774361,448.1892401708729,1.5242361512365954,1.61113114333055,15,5,243.37329840663443,67903,1122,39563,9182,0,16588,1745,0,1,167,1289; 64450,1101,35895,7188,0,20231,35,0,|{'0': 1059, '1': 888, '2': 840, '3': 514, '4': 298, '6': 913, '7': 788, '8': 1114, '9': 657, '10': 378, '11': 1237, '12': 353, '13': 488, '14': 566, '15': 319, '16': 346, '17': 703, '18': 443, '19': 935, '20': 390, '21': 591, '22': 1199, '23': 274, '24': 847, '25': 407, '26': 320, '27': 215, '28': 1013, '29': 571, '30': 263, '31': 312, '32': 247, '33': 1002, '34': 209, '35': 369, '36': 403, '37': 280, '38': 263, '39': 876, '40': 786, '41': 715, '42': 947, '43': 545, '44': 504, '45': 278, '46': 274, '47': 386, '48': 261, '49': 325, '50': 644}|
6,5932.960675817968,5479.825606396059,449.9277554547009,1.5567730952366672,1.6505408463132567,15,5,751.9246855811483,67898,1127,37022,9772,0,18407,1870,0,5,167,1294; 64700,439,33807,6677,0,23724,53,0,|{'0': 1170, '1': 1216, '2': 876, '3': 550, '4': 367, '5': 915, '7': 764, '8': 1244, '9': 1074, '10': 552, '11': 921, '12': 470, '13': 486, '14': 634, '15': 504, '16': 404, '17': 1176, '18': 574, '19': 605, '20': 525, '21': 888, '22': 875, '23': 362, '24': 605, '25': 459, '26': 373, '27': 326, '28': 660, '29': 542, '30': 272, '31': 385, '32': 210, '33': 1148, '34': 308, '35': 548, '36': 441, '37': 295, '38': 365, '39': 581, '40': 676, '41': 1093, '42': 1224, '43': 443, '44': 343, '45': 367, '46': 376, '47': 508, '48': 402, '49': 410, '50': 381}|
7,6355.06651676167,5906.513780824201,445.40761571674807,1.5208789721365847,1.6242412159281594,13,5,365.2557837139649,67911,1114,39284,9426,0,16437,1911,0,1,167,1281; 64050,597,35559,8425,0,19454,135,0,|{'0': 954, '1': 610, '2': 489, '3': 301, '4': 192, '5': 770, '6': 737, '8': 785, '9': 781, '10': 467, '11': 901, '12': 508, '13': 902, '14': 1042, '15': 439, '16': 238, '17': 614, '18': 876, '19': 803, '20': 574, '21': 777, '22': 637, '23': 229, '24': 429, '25': 267, '26': 552, '27': 271, '28': 555, '29': 1068, '30': 399, '31': 544, '32': 408, '33': 961, '34': 239, '35': 554, '36': 277, '37': 173, '38': 431, '39': 503, '40': 1266, '41': 753, '42': 932, '43': 753, '44': 278, '45': 322, '46': 188, '47': 809, '48': 279, '49': 232, '50': 422}|
8,6687.92935699327,6298.578991646901,386.2980960665954,1.4493061439964787,1.6029630988143873,147,5,182.34394182614926,68081,944,37342,10350,0,17711,1957,0,3,167,1111; 55550,8843,29430,1181,0,16064,32,0,|{'0': 1022, '1': 1023, '2': 751, '3': 456, '4': 305, '5': 927, '6': 1059, '7': 638, '9': 778, '10': 430, '11': 884, '12': 344, '13': 376, '14': 502, '15': 373, '16': 337, '17': 899, '18': 443, '19': 563, '20': 377, '21': 649, '22': 882, '23': 318, '24': 604, '25': 419, '26': 287, '27': 236, '28': 640, '29': 476, '30': 197, '31': 273, '32': 180, '33': 1000, '34': 230, '35': 436, '36': 432, '37': 248, '38': 246, '39': 596, '40': 638, '41': 814, '42': 1017, '43': 409, '44': 353, '45': 283, '46': 322, '47': 403, '48': 316, '49': 333, '50': 396}|
9,5650.922991824312,5228.435903400742,419.3298864593278,1.490459202536496,1.6667427414427929,80,5,215.34459528326397,67986,1039,37538,10106,0,17512,1946,0,6,167,1206; 60300,3035,32237,5707,0,19318,47,0,|{'0': 893, '1': 844, '2': 584, '3': 353, '4': 278, '5': 605, '6': 969, '7': 709, '8': 869, '10': 747, '11': 667, '12': 610, '13': 520, '14': 681, '15': 703, '16': 341, '17': 1094, '18': 591, '19': 444, '20': 668, '21': 1148, '22': 581, '23': 380, '24': 359, '25': 379, '26': 455, '27': 377, '28': 430, '29': 511, '30': 301, '31': 458, '32': 267, '33': 895, '34': 345, '35': 691, '36': 367, '37': 228, '38': 431, '39': 380, '40': 655, '41': 1206, '42': 977, '43': 349, '44': 281, '45': 471, '46': 322, '47': 566, '48': 487, '49': 339, '50': 257}|
10,5473.317084662712,5042.404766953832,427.67475982170225,1.560534336896699,1.6770235328660954,1,5,348.8803625497742,67962,1063,42295,10273,0,12556,1926,0,2,167,1230; 61500,148,37562,7254,0,16504,32,0,|{'0': 493, '1': 465, '2': 331, '3': 255, '4': 228, '5': 341, '6': 527, '7': 474, '8': 467, '9': 755, '11': 351, '12': 879, '13': 449, '14': 597, '15': 1208, '16': 291, '17': 621, '18': 543, '19': 270, '20': 981, '21': 831, '22': 327, '23': 377, '24': 224, '25': 288, '26': 573, '27': 735, '28': 229, '29': 408, '30': 359, '31': 566, '32': 198, '33': 500, '34': 662, '35': 988, '36': 243, '37': 151, '38': 571, '39': 236, '40': 407, '41': 723, '42': 539, '43': 273, '44': 169, '45': 841, '46': 249, '47': 568, '48': 715, '49': 302, '50': 160}|
11,5800.649484203886,5347.486580510063,449.9277554547009,1.5766690499967146,1.6584791659058085,6,5,587.7800287560374,67898,1127,39412,9228,0,16635,1834,0,1,167,1294; 64700,165,35759,6673,0,22070,33,0,|{'0': 1150, '1': 835, '2': 709, '3': 412, '4': 242, '5': 1245, '6': 870, '7': 918, '8': 1043, '9': 726, '10': 402, '12': 362, '13': 545, '14': 674, '15': 365, '16': 307, '17': 719, '18': 526, '19': 993, '20': 412, '21': 686, '22': 1029, '23': 269, '24': 745, '25': 351, '26': 380, '27': 223, '28': 879, '29': 698, '30': 259, '31': 361, '32': 231, '33': 1079, '34': 233, '35': 437, '36': 338, '37': 249, '38': 320, '39': 774, '40': 905, '41': 747, '42': 972, '43': 664, '44': 412, '45': 267, '46': 281, '47': 506, '48': 286, '49': 284, '50': 621}|
12,6151.984390981111,5732.6579258693055,416.20055894843733,1.4899616582365203,1.6359444757921626,40,5,391.91282317458496,67995,1030,42111,10835,0,12526,1638,0,2,167,1197; 59850,1633,36442,6200,0,15553,22,0,|{'0': 434, '1': 362, '2': 275, '3': 200, '4': 161, '5': 310, '6': 460, '7': 513, '8': 388, '9': 584, '10': 862, '11': 339, '13': 635, '14': 682, '15': 895, '16': 195, '17': 489, '18': 759, '19': 265, '20': 1170, '21': 697, '22': 276, '23': 225, '24': 198, '25': 215, '26': 839, '27': 565, '28': 245, '29': 527, '30': 544, '31': 919, '32': 323, '33': 484, '34': 466, '35': 1141, '36': 177, '37': 124, '38': 968, '39': 213, '40': 443, '41': 550, '42': 480, '43': 294, '44': 112, '45': 572, '46': 180, '47': 837, '48': 420, '49': 224, '50': 172}|
13,6390.625819116211,5868.366668553835,519.1206637510561,1.5141642397166197,1.6243225384470377,1,7,29.122588427529337,65869,1326,40283,8110,0,14631,1668,0,2,167,1493; 73157,550,44559,10834,0,13738,3476,0,|{'0': 640, '1': 469, '2': 350, '3': 242, '4': 174, '5': 529, '6': 598, '7': 999, '8': 539, '9': 663, '10': 493, '11': 643, '12': 764, '14': 1294, '15': 525, '16': 200, '17': 525, '18': 1342, '19': 571, '20': 716, '21': 709, '22': 423, '23': 217, '24': 332, '25': 193, '26': 1018, '27': 314, '28': 398, '29': 1303, '30': 780, '31': 935, '32': 714, '33': 682, '34': 288, '35': 753, '36': 214, '38': 712, '39': 342, '40': 1011, '41': 637, '42': 658, '43': 759, '44': 232, '45': 367, '46': 175, '47': 1293, '48': 314, '49': 213, '50': 336}|
14,6688.723014879861,6285.096152899241,400.55392139398515,1.4698862778564628,1.603054272415702,84,5,298.47577247344765,68040,985,39273,10439,0,15286,2242,0,1,167,1152; 57600,6198,32506,3199,0,15671,26,0,|{'0': 659, '1': 448, '2': 329, '3': 213, '4': 139, '5': 490, '6': 583, '7': 929, '8': 532, '9': 643, '10': 511, '11': 606, '12': 691, '13': 972, '15': 520, '16': 173, '17': 532, '18': 1092, '19': 499, '20': 688, '21': 740, '22': 412, '23': 183, '24': 291, '25': 227, '26': 736, '27': 324, '28': 330, '29': 968, '30': 494, '31': 687, '32': 411, '33': 685, '34': 264, '35': 688, '36': 207, '37': 126, '38': 561, '39': 320, '40': 875, '41': 655, '42': 685, '43': 541, '44': 184, '45': 310, '46': 169, '47': 1016, '48': 276, '49': 205, '50': 275}|
15,6300.037886330245,5874.406826226704,422.45921397021823,1.5447853733366756,1.6270607279611886,26,5,791.5614616641383,67977,1048,43016,10033,0,12144,1849,0,3,167,1215; 60750,748,37847,6177,0,15955,38,0,|{'0': 421, '1': 427, '2': 299, '3': 237, '4': 190, '5': 295, '6': 493, '7': 422, '8': 397, '9': 663, '10': 1197, '11': 366, '12': 924, '13': 442, '14': 515, '16': 242, '17': 580, '18': 557, '19': 265, '20': 963, '21': 746, '22': 291, '23': 306, '24': 214, '25': 207, '26': 560, '27': 774, '28': 253, '29': 394, '30': 365, '31': 609, '32': 265, '33': 458, '34': 656, '35': 1022, '36': 212, '37': 136, '38': 658, '39': 186, '40': 411, '41': 620, '42': 482, '43': 274, '44': 151, '45': 863, '46': 222, '47': 606, '48': 633, '49': 274, '50': 160}|
16,6550.515162246111,6018.209107839189,529.2040523972603,1.48719261437649,1.6148093603258549,47,4,651.8443646080324,63409,1355,42988,6007,0,12457,683,0,5,167,1522; 73056,2201,50617,8865,0,9849,1524,0,|{'0': 397, '1': 577, '2': 646, '3': 807, '4': 1239, '5': 410, '6': 469, '7': 276, '8': 479, '9': 456, '10': 350, '11': 310, '12': 248, '13': 198, '14': 228, '15': 310, '17': 505, '18': 236, '19': 248, '20': 260, '21': 399, '22': 414, '23': 1172, '24': 356, '25': 1248, '26': 186, '27': 271, '28': 345, '29': 232, '31': 193, '33': 392, '34': 307, '35': 261, '36': 905, '37': 710, '38': 166, '39': 360, '40': 280, '41': 463, '42': 437, '43': 171, '44': 363, '45': 342, '46': 1496, '47': 216, '48': 490, '49': 1394, '50': 221}|
17,6126.638832828252,5671.14133881286,452.36167685206016,1.4968842134365254,1.6389329214996815,3,5,391.15196248287964,67891,1134,38339,9860,0,17161,1539,0,4,167,1301; 65050,219,35322,9273,0,20233,3,0,|{'0': 987, '1': 1104, '2': 747, '3': 473, '4': 356, '5': 695, '6': 1185, '7': 652, '8': 1031, '9': 1201, '10': 691, '11': 724, '12': 496, '13': 488, '14': 637, '15': 608, '16': 409, '18': 546, '19': 489, '20': 566, '21': 1017, '22': 669, '23': 420, '24': 479, '25': 499, '26': 364, '27': 375, '28': 524, '29': 531, '30': 271, '31': 401, '32': 189, '33': 975, '34': 394, '35': 618, '36': 417, '37': 289, '38': 387, '39': 476, '40': 613, '41': 1233, '42': 1096, '43': 380, '44': 269, '45': 468, '46': 403, '47': 518, '48': 513, '49': 521, '50': 334}|
18,5488.142139854706,5028.738150965339,456.1864104764818,1.540196523356615,1.6773818721311313,3,5,809.6191137883047,67880,1145,40056,9023,0,15315,2484,0,2,167,1312; 65600,111,37986,7758,0,19739,6,0,|{'0': 644, '1': 473, '2': 315, '3': 228, '4': 162, '5': 460, '6': 577, '7': 880, '8': 482, '9': 669, '10': 640, '11': 551, '12': 855, '13': 1196, '14': 1253, '15': 617, '16': 186, '17': 539, '19': 448, '20': 858, '21': 786, '22': 379, '23': 221, '24': 274, '25': 230, '26': 1035, '27': 366, '28': 356, '29': 986, '30': 667, '31': 956, '32': 558, '33': 651, '34': 288, '35': 820, '36': 202, '37': 149, '38': 783, '39': 301, '40': 848, '41': 679, '42': 654, '43': 547, '44': 166, '45': 368, '46': 207, '47': 1301, '48': 311, '49': 210, '50': 282}|
